Domain,Career,College Name,Tuition Fee (INR),Speciality,Admission Process,State
Information Technology,Software Engineer,IIT Bombay,"8,00,000",B.Tech Computer Science & Engineering,JEE Advanced + JoSAA,Maharashtra
Information Technology,Software Engineer,VJTI Mumbai,"3,40,000",B.Tech Information Technology,MHT-CET / JEE Main,Maharashtra
Information Technology,Software Engineer,COEP Technological University Pune,"3,60,000",B.Tech Computer Engineering,MHT-CET,Maharashtra
Information Technology,Software Engineer,PICT Pune,"4,20,000",B.Tech Computer Engineering,MHT-CET / JEE Main,Maharashtra
Information Technology,Software Engineer,SPIT Mumbai,"5,80,000",B.Tech Computer Science,MHT-CET / JEE Main,Maharashtra
Information Technology,Software Engineer,MIT-WPU Pune,"12,50,000",B.Tech AI & Data Science,MIT-WPU CET / JEE Main,Maharashtra
Information Technology,Software Engineer,VNIT Nagpur,"5,50,000",B.Tech Computer Science,JEE Main + CSAB,Maharashtra
Information Technology,Software Engineer,Walchand College of Engineering Sangli,"3,20,000",B.Tech Information Technology,MHT-CET,Maharashtra
Information Technology,Software Engineer,IIIT Pune,"7,20,000",B.Tech Computer Science,JEE Main + CSAB,Maharashtra
Information Technology,Software Engineer,Bharati Vidyapeeth College of Engineering Pune,"6,00,000",B.Tech Software Engineering,BVP CET,Maharashtra
Information Technology,Software Engineer,IIT Delhi,"8,50,000",B.Tech Computer Science & Engineering,JEE Advanced,Delhi NCR
Information Technology,Software Engineer,DTU (Delhi Technological University),"6,80,000",B.Tech Software Engineering,JEE Main + JAC Delhi,Delhi NCR
Information Technology,Software Engineer,NSUT Delhi,"6,50,000",B.Tech Computer Engineering,JEE Main + JAC Delhi,Delhi NCR
Information Technology,Software Engineer,IIIT Delhi,"14,00,000",B.Tech Computer Science & AI,JEE Main + JAC Delhi,Delhi NCR
Information Technology,Software Engineer,Jamia Millia Islamia,"64,000",B.Tech Computer Engineering,JEE Main + JMI Entrance,Delhi NCR
Information Technology,Software Engineer,IGDTUW Delhi,"4,80,000",B.Tech IT & Cyber Security,JEE Main + JAC Delhi,Delhi NCR
Information Technology,Software Engineer,Amity University Noida,"13,20,000",B.Tech Full Stack & DevOps,Amity JEE / Merit,Delhi NCR
Information Technology,Software Engineer,Shiv Nadar University Greater Noida,"16,00,000",B.Tech Computer Science & Data Science,SNUSAT + JEE Main,Delhi NCR
Information Technology,Software Engineer,MAIT (Maharaja Agrasen Institute of Technology),"4,50,000",B.Tech Computer Science,JEE Main + IPU CET,Delhi NCR
Information Technology,Software Engineer,Jaypee Institute of Information Technology Noida,"10,50,000",B.Tech IT & AI,JIIT Entrance / JEE Main,Delhi NCR
Information Technology,Software Engineer,IISc Bangalore,"2,20,000",B.Tech Mathematics & Computing,JEE Advanced,Karnataka
Information Technology,Software Engineer,NIT Surathkal,"5,40,000",B.Tech Computer Science,JEE Main,Karnataka
Information Technology,Software Engineer,RV College of Engineering Bangalore,"10,00,000",B.Tech Computer Science & Engineering,KCET / COMEDK,Karnataka
Information Technology,Software Engineer,BMS College of Engineering Bangalore,"9,50,000",B.Tech Information Science,KCET / COMEDK,Karnataka
Information Technology,Software Engineer,MSRIT (Ramaiah Institute of Technology) Bangalore,"9,20,000",B.Tech AI & Machine Learning,KCET / COMEDK,Karnataka
Information Technology,Software Engineer,PES University Bangalore,"14,40,000",B.Tech Computer Science,PESSAT / KCET,Karnataka
Information Technology,Software Engineer,IIIT Bangalore,"16,00,000",iM.Tech Computer Science,JEE Main,Karnataka
Information Technology,Software Engineer,Manipal Institute of Technology (MIT Manipal),"18,50,000",B.Tech Computer Science & Cyber Security,MET Entrance,Karnataka
Information Technology,Software Engineer,Dayananda Sagar College of Engineering Bangalore,"8,80,000",B.Tech Computer Science,KCET / COMEDK,Karnataka
Information Technology,Software Engineer,BMSIT Bangalore,"8,20,000",B.Tech Information Technology,KCET / COMEDK,Karnataka
Information Technology,Software Engineer,IIT Madras,"8,00,000",B.Tech Computer Science & Engineering,JEE Advanced,Tamil Nadu
Information Technology,Software Engineer,NIT Tiruchirappalli,"5,50,000",B.Tech Computer Science,JEE Main,Tamil Nadu
Information Technology,Software Engineer,Anna University (CEG Guindy) Chennai,"2,00,000",B.E. Computer Science,TNEA Counselling,Tamil Nadu
Information Technology,Software Engineer,PSG College of Technology Coimbatore,"4,50,000",B.E. Information Technology,TNEA / Management,Tamil Nadu
Information Technology,Software Engineer,SSN College of Engineering Chennai,"6,00,000",B.E. Computer Science,TNEA / Entrance,Tamil Nadu
Information Technology,Software Engineer,VIT University Vellore,"7,80,000",B.Tech Computer Science & AI,VITEEE,Tamil Nadu
Information Technology,Software Engineer,SRM Institute of Science and Technology Chennai,"14,00,000",B.Tech Software Engineering,SRMJEEE,Tamil Nadu
Information Technology,Software Engineer,SASTRA Deemed University Thanjavur,"6,50,000",B.Tech Computer Science,JEE Main + 12th Marks,Tamil Nadu
Information Technology,Software Engineer,Thiagarajar College of Engineering Madurai,"3,50,000",B.E. Computer Science,TNEA,Tamil Nadu
Information Technology,Software Engineer,Coimbatore Institute of Technology,"3,20,000",B.E. Information Technology,TNEA,Tamil Nadu
Information Technology,Software Engineer,IIT Hyderabad,"8,50,000",B.Tech Computer Science,JEE Advanced,Telangana
Information Technology,Software Engineer,IIIT Hyderabad,"14,00,000",B.Tech Computer Science & Engineering,SPEC / UGEE / JEE Main,Telangana
Information Technology,Software Engineer,NIT Warangal,"5,40,000",B.Tech Computer Science,JEE Main,Telangana
Information Technology,Software Engineer,OU College of Engineering Hyderabad,"1,80,000",B.E. Computer Science,TS EAMCET,Telangana
Information Technology,Software Engineer,CBIT Hyderabad,"5,60,000",B.E. Information Technology,TS EAMCET,Telangana
Information Technology,Software Engineer,Vasavi College of Engineering Hyderabad,"5,40,000",B.E. Computer Science,TS EAMCET,Telangana
Information Technology,Software Engineer,VNR VJIET Hyderabad,"5,20,000",B.Tech Data Science & AI,TS EAMCET,Telangana
Information Technology,Software Engineer,JNTU College of Engineering Hyderabad,"2,00,000",B.Tech Computer Science,TS EAMCET,Telangana
Information Technology,Software Engineer,Anurag University Hyderabad,"6,80,000",B.Tech Cyber Security,TS EAMCET / Anurag CET,Telangana
Information Technology,Software Engineer,Vardhaman College of Engineering Hyderabad,"4,80,000",B.Tech Computer Science,TS EAMCET,Telangana
Information Technology,Software Engineer,IIT Kharagpur,"8,20,000",B.Tech Computer Science & Engineering,JEE Advanced,West Bengal
Information Technology,Software Engineer,Jadavpur University Kolkata,"40,000",B.E. Computer Science & Engineering,WBJEE,West Bengal
Information Technology,Software Engineer,IIEST Shibpur,"5,20,000",B.Tech Computer Science,JEE Main,West Bengal
Information Technology,Software Engineer,NIT Durgapur,"5,40,000",B.Tech Information Technology,JEE Main,West Bengal
Information Technology,Software Engineer,Heritage Institute of Technology Kolkata,"4,40,000",B.Tech Computer Science,WBJEE / JEE Main,West Bengal
Information Technology,Software Engineer,IEM (Institute of Engineering & Management) Kolkata,"5,00,000",B.Tech Computer Science,WBJEE / IEMJEE,West Bengal
Information Technology,Software Engineer,Techno India University Kolkata,"6,20,000",B.Tech AI & Data Science,WBJEE / TNU Test,West Bengal
Information Technology,Software Engineer,Haldia Institute of Technology,"3,80,000",B.Tech Information Technology,WBJEE,West Bengal
Information Technology,Software Engineer,Kalyani Government Engineering College,"1,20,000",B.Tech Computer Science,WBJEE,West Bengal
Information Technology,Software Engineer,MAKAUT Kolkata,"2,10,000",B.Tech Software Engineering,WBJEE,West Bengal
Information Technology,Software Engineer,IIT Kanpur,"8,50,000",B.Tech Computer Science,JEE Advanced,Uttar Pradesh
Information Technology,Software Engineer,IIT (BHU) Varanasi,"8,30,000",B.Tech Computer Science,JEE Advanced,Uttar Pradesh
Information Technology,Software Engineer,MNNIT Allahabad,"5,60,000",B.Tech Computer Science,JEE Main,Uttar Pradesh
Information Technology,Software Engineer,HBTU Kanpur,"4,80,000",B.Tech Computer Science,JEE Main + HBTU Counselling,Uttar Pradesh
Information Technology,Software Engineer,IET Lucknow,"3,40,000",B.Tech Computer Science & Engineering,JEE Main + UPCET,Uttar Pradesh
Information Technology,Software Engineer,JIIT Noida,"10,20,000",B.Tech IT & Software Systems,JIIT Entrance / JEE Main,Uttar Pradesh
Information Technology,Software Engineer,Shiv Nadar University Greater Noida,"15,50,000",B.Tech AI & Cyber Security,SNUSAT / JEE Main,Uttar Pradesh
Information Technology,Software Engineer,Galgotias University Greater Noida,"6,20,000",B.Tech Computer Science,JEE Main / GEEE,Uttar Pradesh
Information Technology,Software Engineer,GLA University Mathura,"5,50,000",B.Tech Computer Science,GLAET,Uttar Pradesh
Information Technology,Software Engineer,Amity University Lucknow,"9,80,000",B.Tech Computer Engineering,Amity Entrance / Merit,Uttar Pradesh
Information Technology,Software Engineer,IIT Gandhinagar,"8,40,000",B.Tech Computer Science,JEE Advanced,Gujarat
Information Technology,Software Engineer,SVNIT Surat,"5,50,000",B.Tech Computer Science,JEE Main,Gujarat
Information Technology,Software Engineer,DA-IICT Gandhinagar,"8,80,000",B.Tech ICT & Honours in CS/AI,JEE Main / GUJCET,Gujarat
Information Technology,Software Engineer,Nirma University Ahmedabad,"9,20,000",B.Tech Computer Science,JEE Main / GUJCET,Gujarat
Information Technology,Software Engineer,MS University Baroda,"1,80,000",B.E. Computer Science,GUJCET,Gujarat
Information Technology,Software Engineer,LD College of Engineering Ahmedabad,"60,000",B.E. Information Technology,GUJCET,Gujarat
Information Technology,Software Engineer,PDEU (Pandit Deendayal Energy University) Gandhinagar,"9,50,000",B.Tech Computer Science,JEE Main / GUJCET,Gujarat
Information Technology,Software Engineer,VGEC Ahmedabad,"65,000",B.E. Computer Engineering,GUJCET,Gujarat
Information Technology,Software Engineer,CHARUSAT Anand,"4,80,000",B.Tech Software Engineering,GUJCET / JEE Main,Gujarat
Information Technology,Software Engineer,Marwadi University Rajkot,"4,20,000",B.Tech Computer Science,GUJCET / Merit,Gujarat
Information Technology,Software Engineer,Thapar Institute of Engineering & Technology Patiala,"16,50,000",B.Tech Computer Science,JEE Main / Thapar Test,Punjab
Information Technology,Software Engineer,IIT Ropar,"8,50,000",B.Tech Computer Science,JEE Advanced,Punjab
Information Technology,Software Engineer,NIT Jalandhar,"5,40,000",B.Tech Computer Science,JEE Main,Punjab
Information Technology,Software Engineer,PEC (Punjab Engineering College) Chandigarh,"6,20,000",B.Tech Computer Science,JEE Main,Punjab
Information Technology,Software Engineer,Chandigarh University Mohali,"8,90,000",B.Tech Computer Science & AI,CUCET,Punjab
Information Technology,Software Engineer,Lovely Professional University (LPU) Phagwara,"9,60,000",B.Tech Computer Science,LPUNEST,Punjab
Information Technology,Software Engineer,GNDU Amritsar,"3,80,000",B.Tech Computer Science,GNDU Test / JEE Main,Punjab
Information Technology,Software Engineer,CCET Chandigarh,"3,20,000",B.Tech Computer Science,JEE Main,Punjab
Information Technology,Software Engineer,Guru Nanak Dev Engineering College Ludhiana,"3,40,000",B.Tech Information Technology,JEE Main / PTU,Punjab
Information Technology,Software Engineer,Chitkara University Rajpura,"8,20,000",B.Tech Software Engineering,Chitkara Entrance / JEE Main,Punjab
Information Technology,Software Engineer,NIT Calicut,"5,50,000",B.Tech Computer Science,JEE Main,Kerala
Information Technology,Software Engineer,IIT Palakkad,"8,40,000",B.Tech Computer Science,JEE Advanced,Kerala
Information Technology,Software Engineer,College of Engineering Trivandrum (CET),"1,40,000",B.Tech Computer Science,KEAM,Kerala
Information Technology,Software Engineer,Model Engineering College Kochi,"2,20,000",B.Tech Computer Science,KEAM,Kerala
Information Technology,Software Engineer,Government Engineering College Thrissur,"1,35,000",B.Tech Computer Science,KEAM,Kerala
Information Technology,Software Engineer,TKM College of Engineering Kollam,"1,80,000",B.Tech Computer Science,KEAM,Kerala
Information Technology,Software Engineer,SCMS School of Engineering Ernakulam,"3,60,000",B.Tech Computer Science,KEAM,Kerala
Information Technology,Software Engineer,Rajagiri School of Engineering & Technology Kochi,"4,00,000",B.Tech Computer Science,KEAM,Kerala
Information Technology,Software Engineer,FISAT Angamaly,"3,80,000",B.Tech Computer Science & AI,KEAM,Kerala
Information Technology,Software Engineer,Amrita Vishwa Vidyapeetham Amritapuri,"12,00,000",B.Tech Computer Science,AEEE / JEE Main,Kerala
Information Technology,AI/ML Engineer,IIT Bombay,"8,00,000",B.Tech Computer Science & Engineering,JEE Advanced + JoSAA,Maharashtra
Information Technology,AI/ML Engineer,VJTI Mumbai,"3,40,000",B.Tech Information Technology,MHT-CET / JEE Main,Maharashtra
Information Technology,AI/ML Engineer,COEP Technological University Pune,"3,60,000",B.Tech Computer Engineering,MHT-CET,Maharashtra
Information Technology,AI/ML Engineer,PICT Pune,"4,20,000",B.Tech Computer Engineering,MHT-CET / JEE Main,Maharashtra
Information Technology,AI/ML Engineer,SPIT Mumbai,"5,80,000",B.Tech Computer Science,MHT-CET / JEE Main,Maharashtra
Information Technology,AI/ML Engineer,MIT-WPU Pune,"12,50,000",B.Tech AI & Data Science,MIT-WPU CET / JEE Main,Maharashtra
Information Technology,AI/ML Engineer,VNIT Nagpur,"5,50,000",B.Tech Computer Science,JEE Main + CSAB,Maharashtra
